"id","AMAS1","AMAS2","AMAS3","AMAS4","AMAS5","AMAS6","AMAS7","AMAS8","AMAS9","learn01","eval02","learn03","eval04","eval05","learn06","learn07","eval08","learn09"
601,1,3,1,3,3,1,5,5,1,1,3,1,3,3,1,5,5,1
602,1,4,3,3,4,3,2,4,3,1,4,3,3,4,3,2,4,3
603,3,3,3,3,3,4,3,3,2,3,3,3,3,3,4,3,3,2
604,3,4,1,3,4,2,2,3,2,3,4,1,3,4,2,2,3,2
605,1,2,1,2,3,1,1,3,1,1,2,1,2,3,1,1,3,1
606,2,3,1,2,3,1,2,1,2,2,3,1,2,3,1,2,1,2
607,3,4,1,3,4,2,2,4,3,3,4,1,3,4,2,2,4,3
608,3,4,3,4,4,3,2,3,3,3,4,3,4,4,3,2,3,3
609,3,4,3,4,4,4,4,3,3,3,4,3,4,4,4,4,3,3
610,1,2,1,2,3,1,1,3,1,1,2,1,2,3,1,1,3,1
611,1,2,1,1,2,1,2,4,2,1,2,1,1,2,1,2,4,2
612,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1
613,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
614,1,2,1,2,2,1,1,1,1,1,2,1,2,2,1,1,1,1
615,1,1,1,3,5,1,1,3,3,1,1,1,3,5,1,1,3,3
616,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,2,1
617,5,5,3,5,5,3,2,5,2,5,5,3,5,5,3,2,5,2
618,1,2,1,1,3,1,1,2,1,1,2,1,1,3,1,1,2,1
619,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1
620,4,4,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5
621,1,3,1,4,2,1,1,3,1,1,3,1,4,2,1,1,3,1
622,5,5,2,5,5,3,1,2,1,5,5,2,5,5,3,1,2,1
625,1,3,1,3,4,1,1,3,1,1,3,1,3,4,1,1,3,1
626,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2
627,2,4,3,5,4,3,2,4,1,2,4,3,5,4,3,2,4,1
628,1,3,2,2,5,1,1,3,3,1,3,2,2,5,1,1,3,3
629,2,3,3,3,2,3,3,4,3,2,3,3,3,2,3,3,4,3
630,4,5,4,5,4,4,2,4,4,4,5,4,5,4,4,2,4,4
631,2,3,4,5,4,3,3,4,5,2,3,4,5,4,3,3,4,5
632,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
633,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
634,3,2,3,4,4,3,2,3,3,3,2,3,4,4,3,2,3,3
635,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
636,4,4,3,4,4,3,2,4,4,4,4,3,4,4,3,2,4,4
637,3,5,1,3,4,3,2,5,3,3,5,1,3,4,3,2,5,3
638,1,2,2,1,3,1,1,3,1,1,2,2,1,3,1,1,3,1
640,1,3,1,4,3,1,1,4,1,1,3,1,4,3,1,1,4,1
641,2,2,1,2,2,2,1,3,2,2,2,1,2,2,2,1,3,2
642,1,3,1,3,4,2,1,5,4,1,3,1,3,4,2,1,5,4
643,1,2,1,3,2,1,1,3,1,1,2,1,3,2,1,1,3,1
644,4,5,4,5,3,3,1,5,1,4,5,4,5,3,3,1,5,1
645,1,2,1,2,2,1,1,2,1,1,2,1,2,2,1,1,2,1
646,1,1,1,2,3,2,1,4,2,1,1,1,2,3,2,1,4,2
647,3,5,2,5,5,1,2,5,1,3,5,2,5,5,1,2,5,1
648,3,3,2,4,4,3,3,2,3,3,3,2,4,4,3,3,2,3
649,1,5,1,5,3,1,1,5,3,1,5,1,5,3,1,1,5,3
650,1,2,1,3,3,1,1,2,1,1,2,1,3,3,1,1,2,1
651,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1
652,3,5,1,2,4,1,1,3,2,3,5,1,2,4,1,1,3,2
653,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
654,1,2,1,3,3,1,1,3,1,1,2,1,3,3,1,1,3,1
655,1,2,1,2,3,1,1,3,1,1,2,1,2,3,1,1,3,1
656,2,1,1,1,3,1,1,2,1,2,1,1,1,3,1,1,2,1
657,1,3,1,2,2,1,2,3,2,1,3,1,2,2,1,2,3,2
