"id","amas_learn","amas_eval","amas"
601,1.8,3.5,2.55555555555556
602,2.4,3.75,3
603,3,3,3
604,2,3.5,2.66666666666667
605,1,2.5,1.66666666666667
606,1.6,2.25,1.88888888888889
607,2.2,3.75,2.88888888888889
608,2.8,3.75,3.22222222222222
609,3.4,3.75,3.55555555555556
610,1,2.5,1.66666666666667
611,1.4,2.25,1.77777777777778
612,1,1.25,1.11111111111111
613,1,1,1
614,1,1.75,1.33333333333333
615,1.4,3,2.11111111111111
616,1,1.5,1.22222222222222
617,3,5,3.88888888888889
618,1,2,1.44444444444444
619,1.2,1,1.11111111111111
620,4.8,4.75,4.77777777777778
621,1,3,1.88888888888889
622,2.4,4.25,3.22222222222222
625,1,3.25,2
626,2.8,3,2.88888888888889
627,2.2,4.25,3.11111111111111
628,1.6,3.25,2.33333333333333
629,2.8,3,2.88888888888889
630,3.6,4.5,4
631,3.4,4,3.66666666666667
632,3,3,3
633,1,1.25,1.11111111111111
634,2.8,3.25,3
635,1,1,1
636,3.2,4,3.55555555555556
637,2.4,4.25,3.22222222222222
638,1.2,2.25,1.66666666666667
640,1,3.5,2.11111111111111
641,1.6,2.25,1.88888888888889
642,1.8,3.75,2.66666666666667
643,1,2.5,1.66666666666667
644,2.6,4.5,3.44444444444444
645,1,2,1.44444444444444
646,1.4,2.5,1.88888888888889
647,1.8,5,3.22222222222222
648,2.8,3.25,3
649,1.4,4.5,2.77777777777778
650,1,2.5,1.66666666666667
651,1,1.5,1.22222222222222
652,1.6,3.5,2.44444444444444
653,1,1.25,1.11111111111111
654,1,2.75,1.77777777777778
655,1,2.5,1.66666666666667
656,1.2,1.75,1.44444444444444
657,1.4,2.5,1.88888888888889
