id,easymathtime,hardmathtime,easyverbaltime,hardverbaltime,easymathcorrect,hardmathcorrect,easyverbalcorrect,hardverbalcorrect
601,2256.85,3870.425,1635.3875,3048.05,8,6,8,5
602,3498.1,4786.9,2350.8,3465.8875,8,2,8,5
603,2817.9625,3595.125,1771.3875,2898.875,6,4,7,7
604,3428.0875,5090.1,2820.7625,4710.25,6,0,4,3
605,3666.1125,4436.7625,2400.8,3837.1125,7,4,8,6
606,2180.8375,4623.45,1793.3875,3376,8,6,8,7
607,2565.7125,4251.2625,2110.7,2813.975,8,4,7,3
608,4269.8125,3632.1,2115.15,3658.7375,6,2,5,4
609,4126.3375,3087.225,2375.3875,4803.2125,6,4,5,2
610,2533.425,4369.35,2296.6625,3723.5125,8,6,5,5
611,3475.4375,4041.575,2867.5,3253.6,6,4,5,5
612,2580.85,4568.375,1898.6625,3205.825,8,5,7,5
613,2652.425,3955.35,2228.1875,2369.7625,8,4,7,4
614,2425.7,4622.9,1578.45,3915.8375,8,3,7,6
615,3005.225,4232.8875,2100.425,3673.6875,5,1,8,6
616,2030.4125,3856.325,1825.2125,3046.45,8,5,8,4
617,4876.525,3956.5,3673.375,3381.0125,4,2,5,4
618,2257.1125,4017.05,1568.2875,3411.8875,7,6,8,5
619,2230.8125,4080.0125,1968.575,3295.3125,8,5,8,5
620,3475.0375,3368.9125,2225.6625,3406.2375,6,4,8,5
621,2494.5375,4802.5625,1746.2375,3036.225,7,4,7,6
622,3854.2,2984.0125,1480.6875,1541.1,5,4,3,3
623,3489.5875,3559.8625,2047.425,2688.3125,5,5,8,5
624,3524.838,1767.6,2011.975,3265.288,2,5,6,7
625,3669.8625,4608.8375,2944.6625,3845.15,5,2,4,4
626,4207.3375,2747.3125,2645.65,2939.425,5,4,7,4
627,3274.7625,4507.7375,2368.275,3742.3125,7,5,7,3
628,2242.175,3820.725,1743.6625,2164.7625,7,3,6,6
629,3629.9,4447.5,2011.525,3388.15,7,4,8,7
630,3837.825,4302.45,2602.3875,3649.9,7,2,8,5
631,3683.55,2401.125,1875.3125,2418.45,1,5,6,4
632,2478.4625,3371.8125,3230.35,4073.025,6,4,5,3
633,3790.0875,4371.8125,2328.2125,2625.4625,4,5,6,3
634,3888.6375,4764.7125,1790.15,4560.4375,7,1,8,3
635,4047.5,4072.1625,2033,4068.9125,7,4,8,6
636,3804.725,3735.975,1775.675,3610.6625,6,3,8,7
637,2841.5125,4412.0375,2483.6125,3934.925,7,5,7,6
638,2671.05,4099.0625,1619.625,2519.5875,8,4,8,5
639,2440.4,3151.7375,1723.4875,3835.5875,8,7,8,4
640,3725.575,4205.1875,1931.2,3587.9125,6,4,7,7
641,2363.5625,3135.5875,1853.675,3588.7375,8,4,8,7
642,3650.55,3853.25,2458.325,4151.7625,8,5,8,5
643,3002.8125,4973.125,2476.775,2959.1,8,4,8,7
644,3781.55,4075.6875,2848.6875,3361.8,7,5,8,3
645,3042.225,4178.7875,3186.425,3858.9,6,3,8,4
646,2382.7875,4237.775,2025.4875,3215.3125,8,0,8,6
647,2869.0125,4206.2875,2128.525,3606.3125,8,3,8,7
648,2314.9375,4795.4625,2424.7875,3096.3375,7,5,8,7
649,4271.9375,4021.4625,2332.9875,3429.2125,4,4,8,6
650,2634.5125,4289.825,2558.45,2548.2,6,4,7,6
651,2226.8625,3393.05,2569.9,3563.15,8,3,8,6
652,2815.15,3828.65,2025.25,3308.625,7,5,8,5
653,2098.6125,3968.6125,2114.5625,3146.8875,7,6,8,5
654,3475.85,4975.0125,1973.3,3669.5375,6,1,6,3
655,3472.9125,4033.8125,2485.4625,3623.25,8,5,8,5
