"id","tuckman"
601,NA
602,2.66666666666667
603,2.55555555555556
604,2.55555555555556
605,3.44444444444444
606,2.44444444444444
607,3
608,2.55555555555556
609,2.66666666666667
610,3.44444444444444
611,3.33333333333333
612,3.88888888888889
613,2.33333333333333
614,3
615,4.11111111111111
616,2.66666666666667
617,2.66666666666667
618,3.55555555555556
619,2.22222222222222
620,1.77777777777778
621,2.11111111111111
622,2.22222222222222
625,3.44444444444444
626,2.22222222222222
627,4
628,2.77777777777778
629,3.44444444444444
630,2.44444444444444
631,2.33333333333333
632,2.33333333333333
633,2.55555555555556
634,2
635,2.33333333333333
636,3
637,2.44444444444444
638,2.33333333333333
640,4.22222222222222
641,2.77777777777778
642,1.77777777777778
643,3.88888888888889
644,4.11111111111111
645,3.88888888888889
646,2.66666666666667
647,2.33333333333333
648,2.11111111111111
649,5.33333333333333
650,3.11111111111111
651,5.44444444444444
652,3.88888888888889
653,2.11111111111111
654,2.77777777777778
655,3
656,1.11111111111111
657,2.77777777777778
