"stat","amascat","ave","st_dev","se","N"
"amas","hi",3.17777777777778,0.528021386273455,0.105604277254691,25
"amas","lo",1.55555555555556,0.35416394334465,0.0694572637740516,26
"amas_eval","hi",3.86,0.629483915600708,0.125896783120142,25
"amas_eval","lo",2.11538461538462,0.721909860130644,0.141578171686969,26
"amas_learn","hi",2.632,0.754276695472778,0.150855339094556,25
"amas_learn","lo",1.10769230769231,0.197834429608351,0.0387985237320569,26
"bis","hi",2.10266666666667,0.309408036956595,0.061881607391319,25
"bis","lo",2.02692307692308,0.290596204115184,0.0569906044368968,26
"bis_ATT","hi",2.145,0.420317340430616,0.0840634680861233,25
"bis_ATT","lo",2.04326923076923,0.455442515160129,0.0893196258508184,26
"bis_attention","hi",2.192,0.517944655988134,0.103588931197627,25
"bis_attention","lo",2.14615384615385,0.538316463973205,0.105572544395679,26
"bis_cogcomplex","hi",2.336,0.464471025289343,0.0928942050578686,25
"bis_cogcomplex","lo",2.25384615384615,0.461502562706444,0.0905080989543553,26
"bis_coginstable","hi",2.06666666666667,0.616140917022745,0.123228183404549,25
"bis_coginstable","lo",1.87179487179487,0.574084183350011,0.112587171282565,26
"bis_motor","hi",1.93714285714286,0.450018896050734,0.0900037792101468,25
"bis_motor","lo",1.98351648351648,0.422484243062144,0.0828559769061288,26
"bis_MTR","hi",1.88363636363636,0.366954557653832,0.0733909115307664,25
"bis_MTR","lo",1.86363636363636,0.360211141021071,0.0706432168107677,26
"bis_NPL","hi",2.29090909090909,0.435194139889245,0.0870388279778491,25
"bis_NPL","lo",2.17832167832168,0.412595709291951,0.0809166758809353,26
"bis_persev","hi",1.79,0.412563126482885,0.0825126252965771,25
"bis_persev","lo",1.65384615384615,0.36794648440312,0.072160242458822,26
"bis_selfcntrl","hi",2.25333333333333,0.522901449535116,0.104580289907023,25
"bis_selfcntrl","lo",2.11538461538462,0.509398841269961,0.0999013319937341,26
"easymathcorrect","hi",6.24,1.56204993518133,0.312409987036266,25
"easymathcorrect","lo",7.03846153846154,1.18256565926021,0.231920206641251,26
"easymathtime","hi",3460.152,686.101092780111,137.220218556022,25
"easymathtime","lo",2851.42692307692,617.627183397196,121.126656164141,26
"easyverbalcorrect","hi",6.8,1.5,0.3,25
"easyverbalcorrect","lo",7.23076923076923,1.14219761189357,0.224003381208631,26
"easyverbaltime","hi",2306.763,494.181730243288,98.8363460486576,25
"easyverbaltime","lo",2168.19711538462,425.889479227118,83.5237986620364,26
"hardmathcorrect","hi",3.56,1.38684293751431,0.277368587502863,25
"hardmathcorrect","lo",3.92307692307692,1.57284651312395,0.308460579319437,26
"hardmathtime","hi",3921.773,675.187890764027,135.037578152805,25
"hardmathtime","lo",4236.50961538462,422.178504771792,82.7960166942613,26
"hardverbalcorrect","hi",4.68,1.6,0.32,25
"hardverbalcorrect","lo",5.30769230769231,1.15824801382884,0.227151124003591,26
"hardverbaltime","hi",3444.6155,749.432531876202,149.88650637524,25
"hardverbaltime","lo",3344.81971153846,465.466937590269,91.2855768348099,26
"mathcorrectdif","hi",2.68,2.1548395145192,0.43096790290384,25
"mathcorrectdif","lo",3.11538461538462,1.68111684488433,0.329694138334413,26
"mathtimedif","hi",-461.621,1070.64505014865,214.129010029731,25
"mathtimedif","lo",-1385.08269230769,644.733847607648,126.442710385583,26
"tuckman","hi",2.76888888888889,0.822722570483841,0.164544514096768,25
"tuckman","lo",3.11965811965812,0.801802338206653,0.157246375713848,26
"verbalcorrectdif","hi",2.12,1.48099065943487,0.296198131886974,25
"verbalcorrectdif","lo",1.92307692307692,1.23038455526967,0.241298263713202,26
"verbaltimedif","hi",-1137.8525,703.658765132217,140.731753026443,25
"verbaltimedif","lo",-1176.62259615385,588.99651793346,115.511720706958,26
