"measure","amascat","biscat","mean","median","stddev","sterr","N"
"amas","hi","hi",3.15740740740741,3,0.437979068047648,0.126433666418365,12
"amas","hi","lo",3.1965811965812,3.11111111111111,0.617231716688396,0.171189277181744,13
"amas","lo","hi",1.46666666666667,1.38888888888889,0.437601644081243,0.138381790313107,10
"amas","lo","lo",1.61111111111111,1.66666666666667,0.292569150490838,0.0731422876227096,16
"amas_eval","hi","hi",3.70833333333333,3.75,0.562394771302044,0.162349386301037,12
"amas_eval","hi","lo",4,3.75,0.67700320038633,0.187766904049703,13
"amas_eval","lo","hi",1.875,1.75,0.859990310022929,0.271952814534679,10
"amas_eval","lo","lo",2.265625,2.375,0.601863425814639,0.15046585645366,16
"amas_learn","hi","hi",2.71666666666667,2.8,0.689971453076579,0.19917760208346,12
"amas_learn","hi","lo",2.55384615384615,2.4,0.829272155382241,0.229998713657324,13
"amas_learn","lo","hi",1.14,1,0.211869981094276,0.0669991708074726,10
"amas_learn","lo","lo",1.0875,1,0.192786583212283,0.0481966458030708,16
"bis","hi","hi",2.36388888888889,2.36666666666667,0.143870265165021,0.041531768160704,12
"bis","hi","lo",1.86153846153846,1.9,0.20314479138734,0.0563422278223455,13
"bis","lo","hi",2.31333333333333,2.28333333333333,0.16718438110048,0.0528683433483124,10
"bis","lo","lo",1.84791666666667,1.81666666666667,0.187367236947876,0.0468418092369689,16
"bis_ATT","hi","hi",2.4375,2.5,0.258382204565956,0.0745885176799819,12
"bis_ATT","hi","lo",1.875,1.75,0.35721725415588,0.0990742404876521,13
"bis_ATT","lo","hi",2.4,2.375,0.47798767999,0.151152976226809,10
"bis_ATT","lo","lo",1.8203125,1.875,0.266022986162224,0.0665057465405559,16
"bis_MTR","hi","hi",2.17424242424242,2.13636363636363,0.217417163283069,0.0627629288739624,12
"bis_MTR","hi","lo",1.61538461538462,1.54545454545455,0.252136452829651,0.0699300699300703,13
"bis_MTR","lo","hi",2.14545454545455,2.13636363636363,0.353910335046215,0.111916274621935,10
"bis_MTR","lo","lo",1.6875,1.63636363636364,0.234652899984369,0.0586632249960922,16
"bis_NPL","hi","hi",2.5,2.5,0.272727272727275,0.0787295821622222,12
"bis_NPL","hi","lo",2.0979020979021,2.18181818181818,0.475952775717153,0.132005549042124,13
"bis_NPL","lo","hi",2.41818181818182,2.45454545454545,0.415935998467238,0.131530511601278,10
"bis_NPL","lo","lo",2.02840909090909,2.09090909090909,0.34292334235625,0.0857308355890625,16
"easycorrectdiff","hi","hi",1,1,2.1320071635561,0.615457454896664,12
"easycorrectdiff","hi","lo",0.153846153846154,0,0.987096233585649,0.273771237231572,13
"easycorrectdiff","lo","hi",0.6,0,1.17378779077727,0.371184290855335,10
"easycorrectdiff","lo","lo",-0.0625,0,1.18145390656315,0.295363476640788,16
"easymathcorrect","hi","hi",5.66666666666667,6,1.82574185835055,0.52704627669473,12
"easymathcorrect","hi","lo",6.76923076923077,7,1.09192842819834,0.302846456692762,13
"easymathcorrect","lo","hi",6.8,7,1.3984117975602,0.442216638714053,10
"easymathcorrect","lo","lo",7.1875,8,1.04682058316281,0.261705145790703,16
"easymathtime","hi","hi",3766.75416666667,3821.275,388.666175789264,112.198260608417,12
"easymathtime","hi","lo",3177.13461538462,2869.0125,788.8078603671,218.775937464817,13
"easymathtime","lo","hi",2864.69375,2661.7375,693.186048189455,219.204675452992,10
"easymathtime","lo","lo",2843.13515625,2607.68125,589.302481685954,147.325620421488,16
"easytimediff","hi","hi",1605.06770833333,1684.6625,504.912017607409,145.755544641357,12
"easytimediff","hi","lo",736.454807692308,789.9,703.673860011883,195.164014113578,13
"easytimediff","lo","hi",874.1425,826.55,640.739372695499,202.619580426528,10
"easytimediff","lo","lo",563.909375,566.9875,527.126234238931,131.781558559733,16
"easyverbalcorrect","hi","hi",6.66666666666667,7.5,1.77525072919719,0.512470743190538,12
"easyverbalcorrect","hi","lo",6.92307692307692,7,1.25575597825496,0.348284043774516,13
"easyverbalcorrect","lo","hi",7.4,8,0.843274042711568,0.266666666666667,10
"easyverbalcorrect","lo","lo",7.125,8,1.31021626713557,0.327554066783892,16
"easyverbaltime","hi","hi",2161.68645833333,2172.25625,429.959988045212,124.118757419336,12
"easyverbaltime","hi","lo",2440.67980769231,2350.8,527.726870040726,146.365099182458,13
"easyverbaltime","lo","hi",1990.55125,2003.15,220.269691108833,69.6553923405651,10
"easyverbaltime","lo","lo",2279.22578125,2348.73125,488.880299755403,122.220074938851,16
"hardcorrectdiff","hi","hi",1.33333333333333,2,2.01509455376319,0.581707691528863,12
"hardcorrectdiff","hi","lo",0.923076923076923,1,1.97743682838578,0.548442298364293,13
"hardcorrectdiff","lo","hi",1,1,1.9436506316151,0.614636297152859,10
"hardcorrectdiff","lo","lo",1.625,2,1.92786583212283,0.481966458030708,16
"hardmathcorrect","hi","hi",3.33333333333333,4,1.55699788832305,0.449466574975495,12
"hardmathcorrect","hi","lo",3.76923076923077,4,1.23516841994969,0.342574082458651,13
"hardmathcorrect","lo","hi",4,4,1.76383420737639,0.557773351022717,10
"hardmathcorrect","lo","lo",3.875,4,1.5,0.375,16
"hardmathtime","hi","hi",3752.52083333333,3794.6125,829.924937551401,239.578693051242,12
"hardmathtime","hi","lo",4078.00576923077,4075.6875,474.648178386047,131.643718844344,13
"hardmathtime","lo","hi",4318.0925,4165.975,363.394518462526,114.915436756169,10
"hardmathtime","lo","lo",4185.5203125,4221.48125,458.92707104622,114.731767761555,16
"hardtimediff","hi","hi",244.067708333333,292.0625,799.055333134538,230.667405841316,12
"hardtimediff","hi","lo",692.317307692308,599.975,706.381348728667,195.914936374817,13
"hardtimediff","lo","hi",1139.955,1276.4625,581.916298695525,184.018091145273,10
"hardtimediff","lo","lo",736.52421875,676.450000000001,616.5010133046,154.12525332615,16
"hardverbalcorrect","hi","hi",4.66666666666667,4.5,1.77525072919719,0.512470743190538,12
"hardverbalcorrect","hi","lo",4.69230769230769,5,1.49357598761135,0.414243446702654,13
"hardverbalcorrect","lo","hi",5,5,1.33333333333333,0.421637021355784,10
"hardverbalcorrect","lo","lo",5.5,5.5,1.03279555898864,0.258198889747161,16
"hardverbaltime","hi","hi",3508.453125,3519.9375,974.511773654986,281.317317424083,12
"hardverbaltime","hi","lo",3385.68846153846,3406.2375,494.901476265666,137.26097299836,13
"hardverbaltime","lo","hi",3178.1375,3221.1,552.48197874707,174.710141903748,10
"hardverbaltime","lo","lo",3448.99609375,3575.53125,384.524522319415,96.1311305798537,16
"mathcorrectdif","hi","hi",2.33333333333333,2.5,2.77434130866584,0.800883350691061,12
"mathcorrectdif","hi","lo",3,2,1.4142135623731,0.392232270276368,13
"mathcorrectdif","lo","hi",2.8,3,1.75119007154183,0.553774924194538,10
"mathcorrectdif","lo","lo",3.3125,3,1.66207701385947,0.415519253464867,16
"mathtimediff","hi","hi",-14.2333333333333,66.975,987.996555784697,285.210038720359,12
"mathtimediff","hi","lo",900.871153846154,1232.975,980.975424301207,272.073630176003,13
"mathtimediff","lo","hi",1453.39875,1463.5875,739.11249229439,233.727892273392,10
"mathtimediff","lo","lo",1342.38515625,1410.75,599.978764020353,149.994691005088,16
"verbalcorrectdif","hi","hi",2,2,1.47709789175199,0.426401432711221,12
"verbalcorrectdif","hi","lo",2.23076923076923,2,1.53589529557661,0.425980710918876,13
"verbalcorrectdif","lo","hi",2.4,3,0.843274042711568,0.266666666666667,10
"verbalcorrectdif","lo","lo",1.625,1.5,1.36014705087354,0.340036762718386,16
"verbaltimediff","hi","hi",1346.76666666667,1252.05625,823.451837771213,237.710070100951,12
"verbaltimediff","hi","lo",945.008653846154,1115.0875,533.639881702398,148.005073546964,13
"verbaltimediff","lo","hi",1187.58625,1308.3625,606.144112443854,191.679598562379,10
"verbaltimediff","lo","lo",1169.7703125,1205.53125,598.011873364481,149.50296834112,16
