"group1","group2","p.value"
"hi:easy:verbal","hi:easy:math",1
"hi:hard:math","hi:easy:math",3.92425374278477e-09
"hi:hard:verbal","hi:easy:math",0.0031115196414299
"lo:easy:math","hi:easy:math",1
"lo:easy:verbal","hi:easy:math",0.341493300997135
"lo:hard:math","hi:easy:math",4.05054027416339e-07
"lo:hard:verbal","hi:easy:math",0.510771279978393
"hi:hard:math","hi:easy:verbal",9.06114115208138e-13
"hi:hard:verbal","hi:easy:verbal",6.47717146621423e-06
"lo:easy:math","hi:easy:verbal",1
"lo:easy:verbal","hi:easy:verbal",1
"lo:hard:math","hi:easy:verbal",1.50123268446347e-10
"lo:hard:verbal","hi:easy:verbal",0.00519477978198015
"hi:hard:verbal","hi:hard:math",0.1429357829444
"lo:easy:math","hi:hard:math",1.17837183819981e-14
"lo:easy:verbal","hi:hard:math",4.89364446778598e-16
"lo:hard:math","hi:hard:math",1
"lo:hard:verbal","hi:hard:math",0.000381779281661292
"lo:easy:math","hi:hard:verbal",2.33718634153304e-07
"lo:easy:verbal","hi:hard:verbal",1.69275572154658e-08
"lo:hard:math","hi:hard:verbal",1
"lo:hard:verbal","hi:hard:verbal",1
"lo:easy:verbal","lo:easy:math",1
"lo:hard:math","lo:easy:math",2.41549323920875e-12
"lo:hard:verbal","lo:easy:math",0.000380546669469185
"lo:hard:math","lo:easy:verbal",1.10469778370174e-13
"lo:hard:verbal","lo:easy:verbal",4.27952476374792e-05
"lo:hard:verbal","lo:hard:math",0.0125379410703987
