"","amas_learn","amas_eval","amas","bis_ATT","bis_MTR","bis_NPL","bis","easymathtime","hardmathtime","easyverbaltime","hardverbaltime","easymathcorrect","hardmathcorrect","easyverbalcorrect","hardverbalcorrect","mathcorrectdif","verbalcorrectdif","mathtimediff","verbaltimediff","easycorrectdiff","hardcorrectdiff","easytimediff"
"amas_learn","","","","","","","","","","","","","","","","","","","","","",""
"amas_eval"," 0.68***","","","","","","","","","","","","","","","","","","","","",""
"amas"," 0.92***"," 0.91***","","","","","","","","","","","","","","","","","","","",""
"bis_ATT"," 0.20 "," 0.02 "," 0.12 ","","","","","","","","","","","","","","","","","","",""
"bis_MTR"," 0.03 ","-0.12 ","-0.05 "," 0.64***","","","","","","","","","","","","","","","","","",""
"bis_NPL"," 0.16 ","-0.10 "," 0.04 "," 0.17 "," 0.21 ","","","","","","","","","","","","","","","","",""
"bis"," 0.17 ","-0.10 "," 0.05 "," 0.76***"," 0.80***"," 0.68***","","","","","","","","","","","","","","","",""
"easymathtime"," 0.42** "," 0.52***"," 0.51***"," 0.17 "," 0.15 "," 0.14 "," 0.20 ","","","","","","","","","","","","","","",""
"hardmathtime","-0.40** ","-0.13 ","-0.30* ","-0.21 ","-0.27 ","-0.15 ","-0.28* ","-0.16 ","","","","","","","","","","","","","",""
"easyverbaltime"," 0.14 "," 0.22 "," 0.20 ","-0.27 ","-0.46***","-0.05 ","-0.33* "," 0.35* "," 0.05 ","","","","","","","","","","","","",""
"hardverbaltime"," 0.10 "," 0.12 "," 0.12 "," 0.16 ","-0.07 ","-0.13 ","-0.04 "," 0.23 "," 0.27 "," 0.32* ","","","","","","","","","","","",""
"easymathcorrect","-0.34* ","-0.35* ","-0.38** ","-0.18 ","-0.13 ","-0.36** ","-0.32* ","-0.57***"," 0.40** ","-0.23 "," 0.15 ","","","","","","","","","","",""
"hardmathcorrect","-0.13 ","-0.24 ","-0.20 ","-0.14 ","-0.08 "," 0.15 ","-0.01 ","-0.30* ","-0.23 ","-0.17 ","-0.28* "," 0.13 ","","","","","","","","","",""
"easyverbalcorrect","-0.12 ","-0.19 ","-0.17 ","-0.03 "," 0.10 ","-0.21 ","-0.08 ","-0.29* "," 0.15 ","-0.24 "," 0.06 "," 0.46***"," 0.19 ","","","","","","","","",""
"hardverbalcorrect","-0.19 ","-0.11 ","-0.17 ","-0.08 "," 0.07 ","-0.26 ","-0.13 ","-0.32* "," 0.16 ","-0.29* ","-0.10 "," 0.29* "," 0.11 "," 0.52***","","","","","","","",""
"mathcorrectdif","-0.15 ","-0.08 ","-0.13 ","-0.03 ","-0.03 ","-0.38** ","-0.22 ","-0.20 "," 0.47***","-0.04 "," 0.33* "," 0.64***","-0.68***"," 0.19 "," 0.13 ","","","","","","",""
"verbalcorrectdif"," 0.08 ","-0.08 "," 0.01 "," 0.05 "," 0.02 "," 0.06 "," 0.06 "," 0.05 ","-0.01 "," 0.07 "," 0.16 "," 0.15 "," 0.07 "," 0.44** ","-0.53***"," 0.05 ","","","","","",""
"mathtimediff","-0.54***","-0.45***","-0.54***","-0.25 ","-0.27 ","-0.19 ","-0.31* ","-0.82***"," 0.70***","-0.22 ","-0.01 "," 0.65***"," 0.08 "," 0.30* "," 0.32* "," 0.42** ","-0.04 ","","","","",""
"verbaltimediff","-0.01 ","-0.05 ","-0.03 "," 0.34* "," 0.27 ","-0.09 "," 0.21 ","-0.03 "," 0.22 ","-0.41** "," 0.73***"," 0.31* ","-0.15 "," 0.23 "," 0.11 "," 0.35* "," 0.11 "," 0.15 ","","","",""
"easycorrectdiff"," 0.22 "," 0.17 "," 0.21 "," 0.15 "," 0.22 "," 0.16 "," 0.24 "," 0.29* ","-0.25 "," 0.00 ","-0.10 ","-0.57***"," 0.05 "," 0.47***"," 0.20 ","-0.46***"," 0.26 ","-0.36** ","-0.09 ","","",""
"hardcorrectdiff","-0.04 "," 0.10 "," 0.03 "," 0.05 "," 0.12 ","-0.30* ","-0.09 ","-0.01 "," 0.29* ","-0.09 "," 0.14 "," 0.11 ","-0.68***"," 0.23 "," 0.65***"," 0.61***","-0.45***"," 0.18 "," 0.20 "," 0.10 ","",""
"easytimediff"," 0.34* "," 0.38** "," 0.39** "," 0.35* "," 0.45***"," 0.18 "," 0.43** "," 0.79***","-0.20 ","-0.30* "," 0.02 ","-0.43** ","-0.19 ","-0.14 ","-0.13 ","-0.17 "," 0.00 ","-0.68***"," 0.24 "," 0.30* "," 0.05 ",""
"hardtimediff","-0.41** ","-0.20 ","-0.34* ","-0.30* ","-0.16 ","-0.01 ","-0.20 ","-0.32* "," 0.57***","-0.23 ","-0.64***"," 0.19 "," 0.05 "," 0.07 "," 0.21 "," 0.10 ","-0.15 "," 0.57***","-0.45***","-0.12 "," 0.11 ","-0.18 "
